Highest Perceptron accuracy so far: 0.10239287701725097, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10294936004451864, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10350584307178631, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10406232609905398, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10461880912632164, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10517529215358931, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10573177518085698, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10628825820812465, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10684474123539232, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10740122426266, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10795770728992765, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10851419031719532, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10907067334446299, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.10962715637173066, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11018363939899833, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.110740122426266, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11129660545353366, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11185308848080133, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.112409571508069, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11296605453533667, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11352253756260434, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11407902058987202, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11463550361713967, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11519198664440734, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11574846967167501, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11630495269894268, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11686143572621036, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11741791875347801, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11797440178074568, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11853088480801335, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.11908736783528102, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1196438508625487, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12020033388981637, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12075681691708402, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1213132999443517, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12186978297161936, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12242626599888703, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1229827490261547, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12353923205342238, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12409571508069003, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1246521981079577, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12520868113522537, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12576516416249303, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12632164718976072, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12687813021702837, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12743461324429606, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12799109627156371, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1285475792988314, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.12910406232609906, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1296605453533667, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1302170283806344, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13077351140790205, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13132999443516974, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1318864774624374, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13244296048970505, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13299944351697274, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1335559265442404, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13411240957150808, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13466889259877574, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.1352253756260434, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13578185865331108, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13633834168057873, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13689482470784642, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13745130773511408, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13800779076238176, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13856427378964942, Parameters: learning rate=0.0001, shuffle=True
Highest Perceptron accuracy so far: 0.13912075681691707, Parameters: learning rate=0.0001, shuffle=True
